from,to,value,fee
13TXX9DkNEZAjVS6Emk8rGogY8HDx7ojDZ,1NkoNfJQyQhLZW6FUpMW2mJaJ8C9CrLTnW,93485,28800
1CUx2Y68ogfP7LDUd58MpzsvhQiHgHRcbX,1NkoNfJQyQhLZW6FUpMW2mJaJ8C9CrLTnW,251200,28800
12CHnqRW2obJeed3dNMmSDaSTiMrXBXVJG,1CFtMNdvGt1BunFZccqoKqygeeThwZWP8K,230230,33534
321cAYSddARvtjgCtPRQ2a317EP3oEHCNJ,1QKyn9Y1nzSFhcqCd9NG9d86F4yuBQk4J,4690364,32438
37x289jkMSsyH5NJpVhLHwDZDjJap8GQN9,1yivE7sigjQDupmUdtwbfwKefUTYQfgtc,166679,32438
3GCKMsnKrnG9UqDZeFzgQut8aM5fBSMaWw,1AajcU5PmDWhz7TEfb4jYcm5AzDqcEBHd9,194808,32438
15p9h1gyYPeFc5zEJaaubNCCWbt9CFJXRF,324Mx2sDQkihxaR1918k1cLKkfE4DK868K,504189,33488
32jEWH9LerDPgmhMk88JfVwgvKxzXzJQiX,13yBNHkLUXc7Nj5SE47KYVcRAUCxixtQSp,211473,41400
12duJyZ4e4weUUZDc1zm4M8j3VR9eFZKBV,1NkoNfJQyQhLZW6FUpMW2mJaJ8C9CrLTnW,61190,28800
1MTycedor2mXDE1muoqigiH6DPr52diJAc,1NkoNfJQyQhLZW6FUpMW2mJaJ8C9CrLTnW,68617,28800
bc1q5s7fxewra2skuwcxp3dqwkptd8rnkkxq5272rn,1JsPgnGLQ4Ko1egfqM3Aa4HhkCKg5WUnZ6,52200,21541
1Au1oLucZSHucdA5bCKCgPFVUiwXk15iAg,15xg1JaTCVCR2NRX5GdDYAigB9rHw5Utro,537000,28565
31ossnbAMSG3G4t4dTthzP6wka96QGevWK,bc1qx65xcxz6dfsge2g4eaerercslh83y66wrpm79r,48312524,689102
bc1q600zfay2jztjuaw7cka7fkaw9gwcq766surw2q,1GHTF4Ces22dE1XAfcYNCxwgkmXR1jdfG6,459877,43886
185fc3i2J4iaXMP1EmjxiMQbZUy5AhSho9,3FKLTVSfGuWy6FToVUjEPtHRqP8vBowRkw,16575000,33334
1Hn8zMKhemYwB4LA2CEuq5rJ9LZWySYKg3,1LGaoo3vbLrDMiFJhVYFXegXXMn5LZT4ew,3363030,76812
1LeKwrrEgweYF2YKs18JUTanhAY391aN57,1A9G1nbVw5Wn7QAVwj6C9Dcuum5GYyGdjk,212275,32996
17gEBMKHtwNp7PrQm7dTJPxd3Sy4if1RYk,3BkrJrmFwX3wJCv8R9oYn7c9HJ91a677X8,84208,27792
1ALbFtfnd7tHPhfRo8yYjpDisp5gqvdvpy,3MnVfB8wAqbbXaVSQ4bkYsrisHWmjwZzQf,60240,32688
1PwJzVCFPtViHcoXWcLRm5JUeweSfREcmb,3HGLsNdBPQt81HYtH5Zp7YPcS2pXmFQzry,90368,32544
19muGDtksSqZBECGtnmSUrG7nCeLCgztng,1MFzkFWFatTfTz1vHse3ZWfvrXhssxqeRa,2181653,53856
1L2FsF5p8N3m5y6a29PhTrqJfWrUypyoYJ,15JAkeCWPXMcB9UuPhmpdnskSGjtfa7Ly3,9911,32318
bc1qda9muf2pamgqmh0wkms37e03065ypypajysyt4,3F9TUWMdPHDNxjmTNA1eMcBKQf6k1VMiBj,1113976,45504
1Dy3ufRwMyUdqS6sx1TYa873eMXdfRcGVU,1MdbTSYHS8gnCFGfueLzaK5DTLh6jrLs6E,3947539,32461
1FHnGQEN3EBuMGF2ZZuTgE9wydzKXcgw8u,34qDBfzHfPqmmvLw7nbyfGuNnjmnqpydiH,142495,32461
1NTzDe3fBNiS4QrWtux8F2ynRQ8ssBdbBs,1PsnBhWssq1vLVz2gMb7XH8K4X875u6b3j,79101938,32461
1Msuh96mV9AaV2PChNiLajPLXV37GXGMyE,3P5XGt7Czz1vWLvoemiKd6xX6uCBYApXbv,865000,32461
16kK9PzjCfHesZK41rSw5MyMyEa7rU1oA3,1KAnRYnudMSopRk7rwBrUkxMBKhgZGwAzA,170984,32461
1NC3bgAtaSZ6EfQ1BAq9GdfWATmp1AHYxJ,37315kUCBG3aYLDtBRsezPx4A63e18PM6b,50000,32461
36JEkDM894ybAFfSExG1dVpKz78GsDgc3U,14yP6FiaD8Qjsiw9urfPeojRXzdrD3pZZD,100000000,24192
3CVZ7DZGqoeDZGM1xiX6kGqmgwDLvS7sKM,3KrNu1afW6oW24TDPhmT1FR17kC34FVzUe,7034500,24192
3QkiBfPLY2ABPsiv28rQAq84TdqxBidmvw,199zUFsjvLBBSVRovzSGuCcFHQ8KfaTH2E,750000,31288
1J93M2u1eQ94D65gzC9AhW8PLKfJ8fZQsi,3MYKJGYyhz2RupvhqmE3bjSsdCfSZ18ED8,88360,48668
1NL1YkcGwBvTpG1J2XkqHfFaQNchv9gExj,1FoRzTV8WW62PozYhNRqV5mqHYb69c3arA,1444,75168
1MU9XqmPpi2pEJV88RTtpk1pxB3vR9uVtZ,1EtvXsuQhgiPaioaCxrF5aks9DkoYiuBYQ,11706,75168
15X8SBaQARGjZdZMc2V1sA5wLFWAdTetcy,1Q5NZSkQsbCWaxbKsY3a8kietSyFgrZzTc,923,32318
14SsV4hMFC4ySbXLZsaJwJqjxe7uKuGK2e,17ijTY4uAhMXNitzgFLSmMQsDZiWcRCKa8,147172,54144
15L9MjQJzHkJCjiGcGRtS2hXQrVmgmyE1k,33p8uyAxpBgXyN9UtMqtVzkYPyhqpHtJpH,266779613,112661
3LCb9WMvki6oAq3HuM7X5HRwC4dBSthFzH,3PTyLjwyHy1En8932tyAohor8dFw5mLcJW,481532,53575
bc1q0y5kef2lte6rhry4qkpr87m7xu5zl59xnacwfpgs9epcgymq48kqx8pfyt,1Kxt6P8GB5oC1MPL1FyTS3ts5XZ277izoc,305001,26496
1Evdmm1m4sr9HsBYCfDDMVKneB6aeyfpvb,1DHqgEXgW6TB6YfkAzGSF4LRCG4xUsfpZv,5022000,53860
1PkG3sDxWYQ29ct74TpfHqxSvR8jY9KZzi,331sEcLpUgAH2ndiKLpTM4MnvCxiT3b96h,33000000,53856
3GvdSLMkJ5ho6ECVP4NyoV54fw3XjQgn5Y,3PCXwJaj9QejgPQWgt5iKsTcc86LPsz1eL,1638842,37062
1GM7X3bV4keYD6t7Ygwov5T7U8piANsEdb,18R3Rnz1gpVUFNDUzhztvf6dhUDqRXwx58,2495742,70213
1P3PcnYPaFzHQbmXgvzrXfhSBdc1xFbdSU,1KMANNi9vWar58JETyHgWvxAwXRmwHRDzx,2034800,32573
13zMDSX5oG9xnteQb5poTaHYjgW93SeBdC,1JagTQAo9Ags33NoUXbFaY6t25oauPVpfm,77205,32573
1A2Sbd3PAJsrQPxDik3jEpx83PshSbbciF,197H6YmtLQoxbRjrckN3KLsTgGzwphfNYd,62200,32573
154iuTPsWdvfyP4Pu96ZGXZZuuTxooD4Vo,18QFC3M9mffgtKgenVbCBj7DtWEGLsxJZz,46000,32573
1Q7ALawsCmjUuo1mNQ6gWaVTcXLbmzpQ89,1DF2kNvzsNuRQa2uouYyoeJwSVP9NDQbcV,283221,28024
1DF2kNvzsNuRQa2uouYyoeJwSVP9NDQbcV,1K6x1ySiD1TYwLyYmAp2Bd48yNpePZUZmj,250877,32344
3AnmdNx4EcnPVFmkwTiN3x1NPeKta5zW3M,1LPhi2hRn4F6UBsfDcj2KK6nLjRi3FSUh1,422985,59059
16XxLdiUhquAuauKtBQpZUNwoaL91i5GTj,1JVscCv7RLa1a7HYRFPMjWFXiWCG6iqEvX,259082,27792
3EN4xypH2ygCwwLkyguf12nGLVruzHQFm6,39QEsC2jbo3xiLU4XWbB6ef77nXsAW47Je,255500,24024
354S3zDkzEMrtwSPEkeWVADxSzPSyBAwvQ,1CNCYPgEshKhUxtiQpMYq3T9ruyqF3xtHn,490000,53400
1GBcqKEcs1FFnLawe3hmfFkotNTMgj5LMX,1L7hRhfPbgkaGcNkKQq4mx3hHnGJwDpkrU,676882,117792
3QebozFLrSsgbfd7deYmn2TSmjR6s4Z5vS,3Ku9Y2gSseV3aQg6rziVSf1m4jPNqCVKK9,294910,37037
1ELgHBA4GvA876QsySudCKtMecrQErLpDk,1AtGEkfD8AGhrUxhFZ5bj2p6DNxtn8c3oz,602323,32544
1b79BaYDzUA2QrS5x2Ymp2sa7bzoE715B,16ZbhYJr8teTcAC2fFavr1FQ4wFHN4Wbf1,183340,32544
1P2Lw2tLBzEw8DUPGkqHTAyRmYhgJsx7Qs,17AjGFVfD5M6Xg6PZpa6Ek2UPuzLmE2H7p,403568,32544
19dkM9CX4fDx2gLLj9FyaNhCYQ3jiuFNi9,17xJqnNMdkW6PC4hdgXNGAKn4qnuaWz9Uh,140573,32544
176UVBV9PYC55Y8hiukgXDNVXbxtrJ1t2d,1EohbAeZHSDaweEsXBFxNTuW4f2ZVyz6Fx,11358,32544
1qBVrGorFAFAgq1a5G7nJuWU2sAL1WnZA,1Mdv4HoWC3wBUGbpPRcGMJee8ziVzs6Kim,200819,32544
1tivyviTnrr4mkS4EcxPovSiF7wK8dMnR,163YjqoYvinCwuCJrL47ozgiJerBJXLws4,284331,32544
14UgFiP71ATPyhDuWTnhcSEepFUAMd5bKy,18vkAF5VkKpEZszun4N7sNBAHGKXmuuz6d,1304,32544
1AhfNpaBc9KcehopcGSufQH7PKs3HJW5Gu,1AQHptmHKsYNTTno1Ppyj6BfULfY6GBG7w,121025,32544
1BZD7uo5PhKC9VB8JjrmSWG2KFN796xtyZ,14EMCzBHPdSiw8nFESCszrEa6sb8BpaQaX,4111,32544
1JCzX7KecrxdV6djUuuPvd7BwiKB2A4ugG,1ECx9WpBB39qPhdxWfachn5xpuzn1UhyxP,120981,32544
17t4WoDA5kjNBrsFs21Xms4AVuWcNqp5p1,1LS6uiihXTQ1EG7MNHwwu92gz5Vqe8W3c3,110900,32544
19Uk4UWEPbCHErmdJaSSeKB7HXzo57NatK,1BRafppYpKHCZ6qXnrmvRiqsLFdEfssTnv,1261356,32544
13s8hFu8mpyB9TdbPY7R6kcvz3R92U8jjh,19yFjRyjvf4K334o3uYrCJKVuKwUY8FzLv,78237,32544
1Nw61ghJYJXAUjjgu6NSjqyZp1MVDTYr6X,1BfjggqVGjX9YFb8UtCHqPR5VPZFEvcgek,203652,32544
12bdJDyKxvsgnbvAPzvyt1RgohL5nif8V1,14Gf336tkqHSuPTh5nK7sQjbfKrtP3M4wh,679515,32544
1HvhRs7AQVQuG2WUqFsyqpYyh5pBC9aS1S,13YxuNedYxoSNo4yXQmGAV5w3hXNNKMtJb,7954171,32544
1NtonDM7Nd9Mg6vxRNL14KdnuZsgTDjEHZ,1Mgf4bXC1JFENejH7mLTVwgr7UU6uLi55W,2064046,32544
142Dnxny4Fhh4BhPyJCns6b19v8uavPDTu,167mXqSbnzkCVXEiZB7KzfpYtnwtCGDFR2,653711,32544
19D57xLGaf64hMjCxqGB2RZ3ru9muFYcud,1BuuUCLXpfuzJkKWG1LYcbYJXeKpwE1YHU,1004000,32688
1EWQBRBaWGHPzyq5SVEgM1K1o2SGUUdL3E,16tGdLiQG8n5Mu5HAJQHLA7EwnFNiGzkEG,161280,32688
1EwqWZXRFASeP4qiQ4GAg1thGAPc48iowf,1PDPaZTzdk6oDrZ8PkddKW8WxjMtfefkbW,20161,32688
156hvQw7hQgqbRMNSnCaKJCNDrPxc1GnCk,1LCcZXrQhEHbVaJoEtX7vnAHWvHCRLtm5o,22677,32688
1K2TjFq45wWyZZYh7tAwHKMzdEShXhp3ZC,1LBPLsGfHcXQ9t598YTfnKwmNqXRZBa6YU,181806,32688
1MyZtxFTY1gtqDFHBP6miHqrG6LvXgkRmx,1MyZtxFTY1gtqDFHBP6miHqrG6LvXgkRmx,207542,32688
142SgKzgPweHHSycHWsnY5XeZXeA7TdnD3,1KrMV6Q9e6gpNPQgScYKiwNYnwA1cMRP5L,43477927,603747
1gr7QAZyVAvcPgr5832pz5mfUAwxBoRjc,1M8uML6Cc4weZGfsfNvVf3uDKGVdu8EM85,101066,27763
1BrasiLb2KMbdtuhb1chAVnS2FvcNGfV9J,1KdXp4GHtsbdDRQjTTRXYGqbWhNTDt6dsE,182655,37161
37biYvTEcBVMoR1NGkPTGvHUuLTrzcLpiv,bc1q2zgp6stkddnkgys6fawnp4xvgejzzddr3sdfwu,12838639,23857
37biYvTEcBVMoR1NGkPTGvHUuLTrzcLpiv,bc1qg2mwxe3thz8hn573dtp8tgju5zpm24rdqp4u47,1222613,23857
37biYvTEcBVMoR1NGkPTGvHUuLTrzcLpiv,bc1q473f95285wnh35nd792raa3ywp7y6e3r44tgvm,12123440,23857
3LozVhNg4Hy9Fjoe2k3bMhLK7ccdhqAgHH,bc1qs0dt9qm0x4gh6ev3n5x9m5h574jtw35psfr79v,567000,52910
3G2pNWzLMJotebr3rtfqZ65KYD5R9jScHD,3Eb5nmtYWvMC7Rf91oUg7nKyWuKf5Qjs3J,100000000,37152
35quLH4SrLNNZuC8TNPepKtZbiSsiME9Ux,3Hp8WyfrBZAF2M9whoWjfeZ7KswQwrM5cb,2694070,37152
3EuTA4GXui5oWABnFyXw55ZUeGLxoBo1Jn,3Jx5tEnGpcwx5mmS96hwR9voHh5JmQcwDz,21395119,37152
3MdbMDUY8S8NoDsA47KfgXCW3NaqWiyjkP,3BbZkb8yiByzUjQaQQ2tKHydDt82VsthbR,3500000,37152
1HCws2H1iY6sS8tBAj1jAGcUefVrDL8meo,15PcMMKYk67L72PK9egTtaL8qFJnrHQSVh,249964,75168
3QMS6k6zjt6YZMTUdZLGz8Yxira8bZD2o9,1Jj4VtqthMHqgvnBxVTibAWAEvPVGM1FfY,400000,53339
3KAfbfaBrW6S3GyzuvgBVmLCBQXsMVvB7y,1Q9MyszwqfTCsjRR4JGT19jwEq4kWCRCuY,1200000,53339
114C2wKRfiCCRZAmZb7fR98o5wkZYkqfjx,1J8B8qQpFKaTjUHuZS2qCW9D1TK5pQWZuD,259933,53482
1CVF14oAyJ9XTYtEtgXyMRWYZZ8YZCrFKt,1NZVdD148NRRzaof4wquQT6gJW6MNEHtbp,9124500,75147
1EHPobGQjLWsfm93ZKbNGrNYYKVT6g1mDh,1EMBvwVfkUV6SzJMhQ8CduGTyNRLWBkS9o,40301,16999
13NgRywb45GZCCQs3TujDoM3EzgTZ6omUN,1MPjsPyetSH9LHjH2vjJcXR9jVaAeV9vWt,77700,59445
3LcgeBi9t5MMF4nmv4Dd1MupS6TUyUiAQ9,3H8bAHnx61Yn2UMzyAFALQmmfqaLfBXWwy,130000,23881
3B3aWQPZfZtdQw4K8rXYqyZ4pMBv2JLXtu,3H8bAHnx61Yn2UMzyAFALQmmfqaLfBXWwy,33920812,58773
15vN89PL9KoEhbhQkfceVjjyLeJorbcc35,1JpkSdvVAgnQosgLzFqKH5bDnVMR2xdN2v,808684,27599
1EgF2dpj6FzrteCBicoVqnYfFPGJbpxQRA,1GANkytmfhVH252FAYYRedEfZRhprS7r1U,280706,27599
1AzUqngPrHUh2zeP9dB7UMeo2oRg1N5kvu,1JCAxrbUegRA2TiwhQiYwyrVy88pT4eKVC,444573,27599
1HN2C9KYGcxJKGZ4W3zDrG6W52X911eBvB,14Q48spfQ6NB9EYTp5GxZHJSx1PKjwXB4g,176444,27599
3E5UBbyfJ6D5c6qxSPf1LMaRx9KFrTxPAA,bc1q3lcy5rdepyda8ye2hlvhkf9rkdc843ps9q6sln,50000,45372
34nh5kndxcF4Ck1aNAxwTyZdACrySLJydC,bc1qwnurz6yhmnxqg0842tq2uss3ly62kmkhjdtvyh,923919,52873
1CAFBdGd32VGKBi2DQh16fWPo1g2TVUPx1,1GtHnQ6bkifD9k3bWhcqEmxf5FjCq3n3i,5939667,32318
1Pzwj69FACZL7vcEfQFaiaLWmfr1PS8LSe,1GH6Ns6UV1hCvPiGhAB7vmnmbFjRzXEbfj,67456,32544
18SKwjJ7cBDb9xcjKJa8q68qNvSq1K46hw,18nMKzZVW5PiMvDwsnetyi41vnQHBJYbtB,5142070,32461
18nMKzZVW5PiMvDwsnetyi41vnQHBJYbtB,14pBfBzp9aWc46aje9ySB7WHhBpaFo74uR,450822,32688
3C1zxzRzrZqQXp7adJK9Vqos4o8xADL8MM,12UX5E2titRmigK2WTULV9SaBhujEhdpzN,1357533,53302
3ASauL5shpTyhe4UVymv9deeEZgb6t7pdh,37FnPodnvBK9vXGe4xy3VLuSocCTzae8wv,632072,53016
31q6bdzUTg8HEnScLVRc3AWZiJNbPxsGQW,169ETHnMFYyUP45CSCmKcJTAormzoWq1rG,1343647,46653
17bAL9etgGyQ9hBva4GKgvEqcvsZDPLP21,1M2K7hnFDRLPZhLdffxoQK6CGqtkqvKFYz,214412,96480
1DVE4yRm9tL5ay8XZ7wCJ2P7TpBreDsefK,1DsJbQWSjgQ1UsMSpHbL1RXVDqKMn2gZRc,1293200,27584
1MZ3JVnsK5Y6zXPjf9qRvpKx425hzXggGJ,1FF8kewBrcMiarSAoedQCkYnLUPE7Km9Sb,21336,53860
3Exi9oiWE8XUbQBSZmKJQ831ozPbfWjVUQ,3ALQXSLhPLmW32iZMhuy7GVQ4MDcPW8rBH,30220,52704
19vXcadw6gycWLAYQCwRtu7fymiHzquW6v,177xrdqy5HbC1tUBp1qZWMVm4qZCYuQmSr,118170,48948
1GvdaWafSXXhbubZRBgcZ1DiN1GNpUbxY6,1For5XLorsvqMopHtizqz6EGfjCjvDZemX,19192,53856
19Djb4mBRUGyHgMM65vUVBvTXxBeVx3Rkn,1EyCD8vJqUWM4WmNqV47pWtCb4erAbubE4,50583,53856
1PQHXbRbXD9Aht3JJHPDs5NaPGZme4B9QM,1BuM3uSv9oXRtNMcw41W8RePZwV3DjwMJN,1644,53856
1BgT3XC9H81o3XEintfoJpNibFXD8xkdEV,18FQGcdYbctwNDcNgEEr2tgU8R7jrCmhZE,578597,27225
18CRgNMRHjmVfY1jirTLMgdyXYRiqwfsno,347Cpk8iTBPpwQArpM14JVU4pZeepHjL94,569634,32544
1GGn257TDMWHiAdt13HG5PkruzV84fpYFG,1F3vthZWmE4wkNoK98hcHGc49WshswWQTo,128019,27572
1Nmb7EnVHUYjrJ8meSyxnaDt486pGftQyE,1DYnnrJFHLNbV6pqsZzczEeBfySVYfwMex,16711,27572
3AQa5PxHxyfpMrr8XA4iJoGoLJe21Ko29C,3QuzBh4XhVUEUFH83UpR2daaNx3xvrWN9j,83685343,23881
3QwQHwFapC51KEncEGzsXqgwKLsuDvfi9n,3QpFVfpA8XutwkTqBAHCU1R6eQ6fdPUrst,84148101,37037
17TDgHtM7WuZN1qztwqUf7uwChyqCzGXZL,1GC3q7JYPuQPTSBfJbmTViaVDv5pcZF2Va,2664653819,36952
37jzisjD4Kng3KYNZZvAscWLC1jiWkCjeV,34MD8L6fES2cHFWpaFvLPqynDDU37fowZP,155912,30888
3GNxav2hxrgfFKscF8ZK5bu3BHApMc8Q2R,3HuV6R9d4Ff79Ew9p3Ut8Vy6eetgFdADvD,1007600,30888
31mkWhA1DmWPQteSL2d2UQTSFpMQ9SbZfu,3LdbhLFnMG3Y3E1VZqFisFQrPH6HDXBHqd,1315231,30888
3PabiY36zYRjWruMsmeyEfpRcHuvhFa4Rs,3K3dUHkVKdBPN4Wz69XmmhnHLU17by3a1W,17296373,30888
38AUmiNhkwCM9yX8HzVcvZBV4gxcEoJ9QF,37eGLpKSjVzVRgj1vhHe8h2GHpZd3UZaoD,9320,31174
14aNF1d9VAyj7S9AnZSDAft8N9A27RXRxo,1C24SnC5XY7PU4bRnSUaHWHt4h72httDmu,642005,53818
1EWTxPNMXnBMUU2KzpUxDuY8gfF2itT9X4,35ncNxzuWcLTMGx8yYSY7vg1TpbzTvQgiR,153402,32175
17xEa8aJW1T4pNdr48JosBykf2Y4cRVA3Q,3L2DP92aQboQ4v8vyQzGtELMgb2Le1vTDj,260563,32318
13pcYLCoJHyA6v3DJNEMoBF7ucP7Wznd3H,3BTsNkfK2MrL2f3B2fwZCeVvw9ZqwLUmo8,100769,32318
1QE1NGNoXWvKtANsHJV4xuyfFxmcntqPk2,15jsHBuLEwmXQNgftwxyLmbThWTBc5NAjT,207161,32318
1JFYUb9dRLLa6RAge8xr4fcfsQRU3C7eEz,1F3aoW28osdAoWZrfG9hdgcGCV4JUH8V8g,379421,32318
1P7UmXFTV6z7whwoKxbEVYrHPsJph4Gkmq,3JoK96rucBJDFiPrXA1BkWLcvL5A565X68,122613,32318
1CRNSxcH5aMA1UQ3H32KWmzpi9ptPHPyX2,38NHeafHgCjDKx1Kbi6Uin6nLrVcjYp2yj,80640,32318
1EeK8wceN9L83NKL4HxtxsH7DvXiQAqTc9,18svRXSghgFHiShk5EcWePqTbiVzggLFfg,5626,32318
18YUk1SxrXdrxFQL7ZvTLvg5cdf4vh9RNg,34pdCxNHGUA7cB1Z3pxkPB9wJRSP7mKzQN,494323,32318
12Q9xhirNdotUqgimuhbEVDSAvX7NKsH3L,37G1cBjMbgZykpGSPFbENKriNXCBc6axzJ,68278,32318
14miWZC2WYkaAX7QShUGw12g3x8tKmaP6T,37QnZbSQz1yFzGAtzhnZowCfpjVc2koMN3,60000,32318
17TcfyWDPHj7Doq3SGCy7DHUVVBoU7cEtS,1PJnnHJibXFgJgo7y7HBcGeiM6ouWUKUyu,1955,32318
1PErmYiqqnZ5dFLHND9fYQaVLyYuTYTecr,13pEN848TkqgWYSMSMcQfcbzthqksVU1ep,14070,32318
1rkbY5dG8nuJh3CJxRPSkraJP6CrCZqLv,35ik2enDK94XJCmV5LvgKYYJAiLw2BWVCd,20072,32318
18iUc8FuTWF9GmYLuLNb2PejMsqyei7sM9,3EPbH6kmL8R2YvXnvApVsXpxUx1Ch4FeNR,316522,32318
1D5R7Kcrzp42Z827PDMKaMso6aERWRbqJj,3MyE4i9mQNAmXS9EnMwQ48JzjED9F1hyYc,40163,32318
1GJ4wB2h9pmK89hDbh5c3WxrWDkRaNK4oz,3JfnKA2nqGLwuNQTzYrr1T1JFBioyfiyMo,40163,32318
1GL51DTCVobQBEYYERW3EbqLDrbDnu5RYz,3PiCzxu8t1t4kst8RvpbrdvS5w9ZjG5kL5,54372,32318
1K51AEWoyf2NQbARf1DwJgQKX8hrMVYjLr,3CrGrtSBb5zY2yokdXuVsQTmNoT7m16gSp,200819,32318
1AwswX6fv4hpEr6NHRZ3syuwmsH5ZiUfhN,1ALnXc6sdq4h4SAfVBCvxBteL58B3gTAws,107815,75168
1EicUbzcQja8v4PDh4XfrrHJmKyjDxqKPr,1FrTr3zizH3DECDFjGBUBwR4HiUx8T2zEP,611250,32461
1LaU46eRm9XFNGVFSpEKUBdfx8FWPpZ3to,182p1M2C4FN8N3eu15f4QHWHt6kRtTcL3W,243400,32461
1JEEnhSJhCj2JENGs4G9PpfR4BYuce1WgY,1JyBLN1uRbH5hPmzUNBsLWrvF46mAJR56Z,301200,32461
14m4mAfu1wgRJEFrsi8nXEvonKYnZwUzN7,36iyDdGQdPkCQs1BA4JetDbhEJ96kXbgBV,2035713,36778
19wZaaps3sDuRe1XqRRBdYCbq6ZwZKPGkB,1JuM7GYcNCELrMoDx5f2z5bTY1NDHb6o85,755,96480
